assets,price,circulating_supply,Market Cap,reward_rate,Earnings,earnings_per_share,price_to_earnings
Ethereum,"2390,24","120315124,316165","287582022745,47","0,0334","9605239559,6987","12,525988921815","190,82245840384"
Solana,"133,3","466967027,328029","62246704742,8263","0,0685","4263899274,8836","109,516430202441","1,217168965"
Cardano,"0,325659","35969034281,539","11713639735,0917","0,0282","330324640,529586","108889,952090381","2,9907167167242E-06"
Aptos,"5,78","486652422,075481","2812850999,59628","0,07","196899569,97174","2471,57686604053","0,002338588"
Sui,"0,882448","2679963749,63389","2364928650,93693","0,0305","72130323,8535764","37154,4671707586","2,3750791417472E-05"
Avalanche,"21,79","405215945,999359","8829655463,32603","0,0792","699308712,695422","579,452162747252","0,03760448472"
Celestia,"4,13","208988733,22921","863123468,236637","0,1077","92958397,5290858","2248,19638445057","0,00183702813"
Polkadot,"4,02","1409078865,00323","5664497037,31298","0,1141","646319111,957411","2180,15967489459","0,00184390164"
Sei-network,"0,273482",3300000000,902490600,"0,0491","44312288,46","74471,4415500986","3,6723070523084E-06"
Dymension,"1,29",201577320,"260034742,8","0,0364","9465264,63792","21296,5329244399","6,057324E-05"
Cosmos,"3,97","413282685,346275","1640732260,82471","0,1805","296152173,07886","1395,50786019802","0,00284484245"
Injective-Protocol,"16,88","97727222,33","1649635512,9304","0,1048","172881801,755106","565,283455736044","0,02986112512"
Axelar,"0,496384","773614353,469878","384009787,232792","0,0779","29914362,4254345","25860,9674666547","1,91943321780224E-05"
